title,body,labels
Update Facebook Open Graph tags,,Launch TODO
Update Twitter Card tags,,Launch TODO
Update Twitter/Facebook links,,Launch TODO
Get short URL,,Launch TODO
Update widget analytics with project name,,Launch TODO
Browser testing: IE9,,
Browser testing: IE10,,
Browser testing: Latest Firefox,,
Browser testing: Latest Chrome,,
Browser testing: Desktop Safari,,
Device testing: iPhone Safari,,
Device testing: iPhone Chrome/Webkit,,
Device testing: iPad,,
Device testing: Android phone,,
Device testing: Android tablet,,
Data download,,
Link to repo,,
Double-check analytics code,,Launch TODO
Write blog post,,Launch TODO
Schedule iteration reviews,,Project Management
Schedule sprint planning meetings,,Project Management
Schedule sprint retrospectives,,Project Management
Setup Hipchat service hook on github,,
